Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value,Weights
43,24.3809,6.7107906,0.9875118732452393,0.00798608134910813,dataset_snu_cell_05_f,35.571026,dataset_snu_cell_05_f,0.9715076088905334,[1. 0. 0. 0.]
44,26.192987,14.125625,0.9816507895787557,0.023868062080246343,dataset_snu_cell_05_n,57.11289,dataset_snu_cell_05_n,0.928519606590271,[1. 0. 0. 0.]
45,25.17012,8.845945,0.9853783051172892,0.013098598224993938,dataset_snu_cell_05_n,44.72026,dataset_snu_cell_05_n,0.9561744928359985,[1. 0. 0. 0.]
46,20.455524,4.0225883,0.9918897847334543,0.0026182849503497835,dataset_snu_cell_03_f,26.249418,dataset_snu_cell_03_f,0.9888204336166382,[ 0.60694134  0.13680087 -0.05023372  0.30872995]
47,29.472189,12.968972,0.977414737145106,0.02172741603283663,dataset_snu_cell_15_n,50.481987,dataset_snu_cell_15_n,0.9372311234474182,[1. 0. 0. 0.]
48,24.343964,8.278081,0.9866922497749329,0.011104742136886905,dataset_snu_cell_05_n,41.316822,dataset_snu_cell_05_n,0.962591290473938,[ 0.60320264  0.08299775 -0.05696645  0.3411383 ]
49,27.642519,9.763928,0.983487089474996,0.01184679886807254,dataset_snu_cell_03_n,42.561195,dataset_snu_cell_05_f,0.9658353328704834,[ 0.71518016 -0.01058111 -0.00086385  0.30789602]
50,27.575058,16.660336,0.9762613475322723,0.028414510540561582,dataset_snu_cell_15_n,57.041264,dataset_snu_cell_15_n,0.9198599457740784,[ 0.6796646   0.008134   -0.04885473  0.35984603]
51,28.870161,12.621465,0.9815646211306254,0.016019385154456646,dataset_snu_cell_03_n,53.83398,dataset_snu_cell_03_n,0.9492735862731934,[ 0.58672416  0.02717557 -0.03130735  0.40198573]
52,25.488144,5.307654,0.987941175699234,0.0047506186574003744,dataset_snu_cell_11_n,31.973713,dataset_snu_cell_11_n,0.9807353019714355,[1. 0. 0. 0.]
53,29.917877,13.928831,0.9769618610541025,0.02389489947210151,dataset_snu_cell_15_n,53.99019,dataset_snu_cell_15_n,0.9282038807868958,[1. 0. 0. 0.]
54,32.56135,10.3846245,0.9776347180207571,0.014303216431929413,dataset_snu_cell_03_f,50.47088,dataset_snu_cell_15_n,0.9565607309341431,[ 0.56947964  0.00972716 -0.02545448  0.40304118]
55,19.16495,3.7321203,0.9926983416080475,0.0029578505769472705,dataset_snu_cell_06_n,24.956926,dataset_snu_cell_06_n,0.9875237941741943,[ 0.62713045  0.08160563 -0.06183932  0.3665237 ]
56,26.145262,9.102954,0.986529678106308,0.00896126476376344,dataset_snu_cell_03_n,42.230465,dataset_snu_cell_03_n,0.9687843322753906,[ 0.64126486  0.1754235  -0.04074591  0.23721914]
57,35.39352,11.358996,0.9714220861593882,0.024792146637879126,dataset_snu_cell_15_n,57.98659,dataset_snu_cell_15_n,0.917181670665741,[0. 1. 0. 0.]
58,27.507414,7.312494,0.9856497049331665,0.0078007811701887655,dataset_snu_cell_03_n,41.806065,dataset_snu_cell_03_n,0.9694085717201233,[0.6123833  0.04326491 0.03426238 0.33141044]
59,28.134,7.8012905,0.9832428693771362,0.012788714443252452,dataset_snu_cell_07_f,44.67471,dataset_snu_cell_07_f,0.9549338221549988,[0. 0. 0. 1.]
60,37.065903,13.444849,0.9676797787348429,0.023231548284423146,dataset_snu_cell_05_f,53.978336,dataset_snu_cell_05_f,0.9343891739845276,[0. 0. 0. 1.]
61,28.584732,13.333683,0.9811083575089773,0.016764062456697086,dataset_snu_cell_03_n,52.439564,dataset_snu_cell_03_n,0.951867401599884,[ 0.70299953 -0.01638307  0.00120509  0.3033909 ]
62,32.103573,17.013332,0.9703912138938904,0.032115298353299924,dataset_snu_cell_15_n,60.109463,dataset_snu_cell_15_n,0.9110067486763,[ 0.5286173  -0.02246469  0.09295231  0.40812343]
63,20.949167,3.2405155,0.9916509389877319,0.002722537121571723,dataset_snu_cell_16_f,26.923836,dataset_snu_cell_16_f,0.9862367510795593,[ 0.5139127   0.0623188  -0.03344121  0.4395538 ]
64,22.842428,4.213258,0.9902887841065725,0.0031007861870615007,dataset_snu_cell_01_n,28.663937,dataset_snu_cell_01_n,0.9848606586456299,[ 0.6102127  -0.04706912  0.05709674  0.34807193]
65,28.346224,7.8251915,0.9827526907126108,0.012984788464672832,dataset_snu_cell_07_f,45.123302,dataset_snu_cell_07_f,0.9540242552757263,[0. 0. 0. 1.]
66,22.092522,7.7826085,0.9892293910185496,0.009547816231852151,dataset_snu_cell_05_f,37.36476,dataset_snu_cell_05_f,0.968561589717865,[1. 0. 0. 0.]
67,30.386627,16.223845,0.9749279419581095,0.029125035496959103,dataset_snu_cell_15_n,59.343204,dataset_snu_cell_15_n,0.9132612347602844,[ 0.6246509   0.02820351 -0.00164229  0.36453423]
68,27.633196,3.924708,0.9858435988426208,0.0034271202778130756,dataset_snu_cell_02_f,35.220352,dataset_snu_cell_02_f,0.9798732995986938,[0. 0. 0. 1.]
69,30.65679,8.741283,0.9794382850329081,0.011136794934819642,dataset_snu_cell_05_n,42.961514,dataset_snu_cell_05_n,0.9595537781715393,[ 0.6579834   0.06003916 -0.08165022  0.34355274]
70,26.039328,6.911992,0.9862905542055765,0.00699839394621972,dataset_snu_cell_03_n,36.312195,dataset_snu_cell_06_n,0.9768162965774536,[ 0.557171    0.13515608 -0.00816383  0.36173815]
71,17.712849,2.90193,0.9940703809261322,0.002220161686083227,dataset_snu_cell_16_f,23.938824,dataset_snu_cell_16_f,0.9891194105148315,[ 0.5578281   0.11626118 -0.07711428  0.38756132]
72,24.982298,5.8409023,0.9882187445958456,0.005380157849656772,dataset_snu_cell_04_n,35.35365,dataset_snu_cell_04_n,0.9776939749717712,[ 0.6854806   0.09019331 -0.07631712  0.3023263 ]
73,30.21662,12.41976,0.9792089362939199,0.01582594791168359,dataset_snu_cell_03_n,49.590702,dataset_snu_cell_03_n,0.956955075263977,[ 0.66354984 -0.06778439  0.02602344  0.36629394]
74,18.692133,4.155771,0.9931901097297668,0.003039828948714927,dataset_snu_cell_16_f,24.611284,dataset_snu_cell_16_f,0.9884995222091675,[ 0.6972366   0.08402862 -0.06645844  0.28060386]
75,28.728136,8.285286,0.9825817346572876,0.014095967954708969,dataset_snu_cell_05_n,47.2386,dataset_snu_cell_05_n,0.9510995745658875,[ 0.42016563  0.22642215 -0.03632824  0.4006386 ]
76,35.080658,14.211672,0.9703289171059927,0.02554834154485102,dataset_snu_cell_05_f,55.637466,dataset_snu_cell_05_f,0.9302938580513,[0. 0. 0. 1.]
77,31.143026,14.401028,0.9782065053780874,0.015995368286927013,dataset_snu_cell_03_n,52.9527,dataset_snu_cell_03_n,0.950920820236206,[1. 0. 0. 0.]
78,30.179247,14.052503,0.9779909551143646,0.021806985420687375,dataset_snu_cell_05_n,55.175728,dataset_snu_cell_05_n,0.9332863688468933,[0.5227822  0.08939035 0.09373645 0.3101505 ]
79,25.110857,9.058071,0.9860715170701345,0.011703890464483772,dataset_snu_cell_05_n,42.01808,dataset_snu_cell_05_n,0.9613106846809387,[ 0.62884086  0.02981347 -0.04646845  0.36452484]
80,16.77388,4.4074965,0.994573732217153,0.00300528375757848,dataset_snu_cell_10_f,25.514866,dataset_snu_cell_10_f,0.9885499477386475,[ 0.69646764  0.08884259 -0.06405076  0.3046502 ]
81,33.35285,11.825861,0.9737488130728403,0.020278130416428824,dataset_snu_cell_05_n,53.63951,dataset_snu_cell_05_n,0.9369495511054993,[1. 0. 0. 0.]
82,29.498285,7.5504932,0.980622798204422,0.013037269508981222,dataset_snu_cell_15_n,43.87948,dataset_snu_cell_15_n,0.9525764584541321,[ 0.6857839  -0.00798924 -0.03424335  0.32570451]
83,23.68899,5.665756,0.9895765284697214,0.0052366559233586185,dataset_snu_cell_04_n,34.506104,dataset_snu_cell_04_n,0.9787506461143494,[ 7.7662003e-01 -4.1297884e-04 -4.0062565e-02  2.5842452e-01]
84,27.273872,10.16545,0.9833104411760966,0.01638828222389301,dataset_snu_cell_05_n,49.246746,dataset_snu_cell_05_n,0.9468536376953125,[1. 0. 0. 0.]
